TRACTCE10,BLOCKCE10,GEOID10,CTBLOCK,PLACE,CITY,TotalPop,Hispanic,White,Black,AmerIndian,Asian,Hawaii_Pac,Other,TwoPlus,TotUnits,OccUnits,VacUnits,ORIG_FID,POINT_X,POINT_Y
13310,2013,6.07E+13,133102013,13392,2,156,89,26,13,0,12,0,0,16,48,47,1,3,-116.9703056,32.63638161
16701,2009,6.07E+13,167012009,70224,16,83,23,48,5,0,1,1,0,5,27,27,0,4,-116.9558789,32.84357068
16902,1186,6.07E+13,169021186,99999,19,42,8,1,0,33,0,0,0,0,13,13,0,5,-116.8574745,32.92929206
16810,1002,6.07E+13,168101002,39766,19,97,31,64,1,0,0,0,0,1,31,31,0,10,-116.9128833,32.85533143
16810,1015,6.07E+13,168101015,39766,19,10,5,5,0,0,0,0,0,0,4,4,0,11,-116.9120039,32.84070519
16811,2013,6.07E+13,168112013,39766,19,15,3,9,0,0,3,0,0,0,7,7,0,12,-116.904519,32.83438404
16402,1040,6.07E+13,164021040,30703,19,189,25,148,5,2,0,0,0,9,68,66,2,13,-116.910522,32.81003013
16402,1056,6.07E+13,164021056,30703,19,39,3,36,0,0,0,0,0,0,16,16,0,14,-116.914974,32.80559707
8324,2004,6.07E+13,83242004,66000,14,131,3,99,0,0,24,0,1,4,49,47,2,16,-117.2497489,32.9572157
16202,1014,6.07E+13,162021014,7624,19,1,0,1,0,0,0,0,0,0,1,1,0,18,-116.9636915,32.82250553
16202,1003,6.07E+13,162021003,70224,16,4,0,4,0,0,0,0,0,0,2,2,0,19,-116.9666397,32.83032995
17110,2008,6.07E+13,171102008,68196,15,1126,386,604,20,2,65,1,7,41,376,361,15,20,-117.1933733,33.09742322
8306,3000,6.07E+13,83063000,66000,14,702,46,559,5,0,71,0,0,21,296,288,8,22,-117.2277703,32.84918136
13314,1092,6.07E+13,133141092,13392,2,43,14,13,1,0,12,0,0,3,18,16,2,23,-116.9510839,32.63883852
21400,1098,6.07E+13,214001098,66000,14,32,0,17,2,4,6,0,0,3,13,12,1,24,-117.2193652,32.73032883
8600,1007,6.07E+13,86001007,66000,14,88,29,28,3,0,28,0,0,0,36,32,4,26,-117.176809,32.79329893
15701,2005,6.07E+13,157012005,21712,5,1,0,0,0,1,0,0,0,0,0,0,0,27,-116.9365676,32.79729588
9804,3001,6.07E+13,98043001,66000,14,54,11,35,0,0,3,0,0,5,20,20,0,28,-117.0145815,32.81369994
9804,2008,6.07E+13,98042008,66000,14,43,5,32,1,0,0,0,1,4,15,15,0,29,-117.0184718,32.80503472
9804,1008,6.07E+13,98041008,66000,14,143,40,90,4,1,3,0,0,5,47,46,1,30,-117.0124423,32.8066779
8349,1003,6.07E+13,83491003,66000,14,247,27,100,10,1,101,0,0,8,79,77,2,34,-117.145832,32.92110979
8347,2005,6.07E+13,83472005,66000,14,105,14,23,9,0,49,1,0,9,31,29,2,35,-117.1453458,32.92826076
8347,2007,6.07E+13,83472007,66000,14,185,36,41,3,0,102,0,0,3,53,52,1,36,-117.1468723,32.92698666
8347,4006,6.07E+13,83474006,66000,14,58,1,1,1,0,55,0,0,0,16,15,1,37,-117.1524766,32.92847234
8347,4002,6.07E+13,83474002,66000,14,33,3,7,1,0,22,0,0,0,9,9,0,38,-117.1484416,32.93131795
8347,4001,6.07E+13,83474001,66000,14,111,11,22,0,0,74,1,1,2,29,29,0,39,-117.1454942,32.93122039
17022,5019,6.07E+13,170225019,66000,14,31,2,21,2,0,2,2,0,2,24,23,1,42,-117.1049439,32.89754702
17022,5005,6.07E+13,170225005,66000,14,81,7,48,3,0,14,0,0,9,34,33,1,43,-117.1086057,32.90247193
17019,3018,6.07E+13,170193018,66000,14,145,12,121,6,0,3,3,0,0,116,103,13,46,-117.0518781,33.04062793
9706,5005,6.07E+13,97065005,66000,14,30,0,28,0,0,2,0,0,0,13,13,0,47,-117.0581698,32.79696385
9705,3010,6.07E+13,97053010,66000,14,27,5,22,0,0,0,0,0,0,13,13,0,48,-117.0682017,32.78181945
9705,2003,6.07E+13,97052003,66000,14,31,3,28,0,0,0,0,0,0,12,12,0,49,-117.0696052,32.78505248
9704,4002,6.07E+13,97044002,66000,14,122,5,82,16,0,15,0,0,4,46,46,0,50,-117.0645872,32.80377816
9704,1003,6.07E+13,97041003,66000,14,36,1,30,0,0,5,0,0,0,15,15,0,51,-117.0759888,32.80345422
17107,1009,6.07E+13,171071009,22678,6,29,0,25,4,0,0,0,0,0,8,8,0,52,-117.2401868,33.05962314
9604,3008,6.07E+13,96043008,66000,14,56,6,45,0,0,1,0,0,4,23,21,2,53,-117.0913705,32.78993054
9604,2007,6.07E+13,96042007,66000,14,68,4,59,0,0,4,0,0,1,26,26,0,54,-117.0889135,32.78623383
9603,4020,6.07E+13,96034020,66000,14,154,45,95,2,1,9,0,0,2,60,59,1,55,-117.1078009,32.78138696
9603,3000,6.07E+13,96033000,66000,14,1111,270,585,73,5,114,1,0,63,796,694,102,56,-117.1123009,32.78371828
9602,3007,6.07E+13,96023007,66000,14,65,5,58,0,0,0,1,0,1,33,31,2,57,-117.0894334,32.79691039
9602,2003,6.07E+13,96022003,66000,14,57,9,42,0,0,4,1,0,1,24,24,0,58,-117.0942088,32.7940351
9509,2004,6.07E+13,95092004,66000,14,32,0,29,0,0,3,0,0,0,14,14,0,59,-117.0923512,32.81746558
9509,2007,6.07E+13,95092007,66000,14,177,9,141,7,0,12,1,0,7,70,69,1,60,-117.0944489,32.81506568
9510,1005,6.07E+13,95101005,66000,14,354,116,148,48,0,13,8,0,21,74,72,2,61,-117.1071639,32.81413652
9510,1002,6.07E+13,95101002,66000,14,49,5,22,8,0,11,0,0,3,10,10,0,62,-117.1060342,32.81609137
16201,1000,6.07E+13,162011000,21712,5,153,16,128,2,0,3,0,0,4,74,68,6,63,-116.9809021,32.81532442
16201,3001,6.07E+13,162013001,21712,5,73,15,56,0,0,2,0,0,0,29,29,0,64,-117.0000446,32.8136948
16100,3019,6.07E+13,161003019,21712,5,21,9,11,0,0,1,0,0,0,13,13,0,65,-116.9964964,32.80200538
8327,1015,6.07E+13,83271015,66000,14,99,1,77,2,0,18,0,0,1,39,37,2,66,-117.2399293,32.95890436
8324,4010,6.07E+13,83244010,66000,14,94,7,73,0,0,9,0,0,5,39,38,1,67,-117.2462712,32.94415058
8312,4000,6.07E+13,83124000,66000,14,22,5,17,0,0,0,0,0,0,22,10,12,69,-117.2557609,32.86013198
13314,1112,6.07E+13,133141112,13392,2,68,28,10,3,1,23,0,1,2,26,22,4,70,-116.9591147,32.62455616
8312,3008,6.07E+13,83123008,66000,14,39,9,30,0,0,0,0,0,0,28,20,8,71,-117.2476777,32.85684149
